client_id,date_souscription,jour_souscription,secteur,pays,taille_entreprise,plan,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_total,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,couleur_theme_interface,code_datacenter,groupe_experimentation,commentaire_csm,sante_compte_fin_periode,valeur_vie_client_eur,churn
CLI-004593,02/12/2023,samedi,Industrie,Suisse, TPE ,PRO,14,4,1,"25,0",1,0.2,16,0,1,30,1,,2,0,98.14,bleu,eu-w1,control,"Client insatisfait, risque de départ.",15,1690,1
CLI-003145,12/10/2024,samedi, Tech ,France,PME,pro,4,56,8,14.3,1,0.1,16,4,,5,0,10.4,4,3,"1202,55",sombre,ap-s1,A,,49,17750,0
CLI-003092,04 Feb 2024,dimanche,INDUSTRIE,France, PME ,Pro,12,21,17,81.0,56,40.1,16,8,0,2,0,8.6,4,0,505.32,bleu,eu-w3,A,,34,8287,1
CLI-002921,2023-11-17,vendredi,Public,Allemagne,PME,Business,15,47,30,63.8,33,"24,4",26,12,4,1,0,7.0,4,0,2255.86,clair,us-e1,B,,92,31447,0
CLI-004313,2024-04-06,samedi,Tech,Canada,ETI,starter,10,102,0,"0,0",0,0.0,8,0,0,82,6,26.7 h,2,0,1103.52,sombre,eu-w1,control,"Compte peu actif, relance nécessaire.",0,24432,1
CLI-000847,2024-12-30,lundi,Tech,Belgique,ETI,BUSINESS,1,143,0,0.0,0,0.0,26,0,0,30,3,6.6,3,2,6605.34,sombre,us-e1,A,Faible adoption des sièges.,2,173324,1
CLI-000228,2024-04-07,dimanche,PUBLIC,France,GE,Enterprise,10,766,306,39.9,1,0.1,40,17,1,3,0,"5,4",5,1,63785.75,vert,us-e1,A,Suivi standard.,59,784565,0
CLI-002779,02 Jan 2025,jeudi,Finance,Allemagne,PME, Business ,1,26,14,"53,8",14,"4,4",26,2,0,4,1,"6,2",2,4,1261.89,bleu,us-e1,A,,0,21730,1
CLI-000782,2024-08-07,mercredi, Tech ,France,GE,enterprise,6,135,24,17.8,3,"1,5",40,12,1,8,5,5.3,3,1,8656.72,clair,ap-s1,control,Faible adoption des sièges.,47,56788,0
CLI-002147,2024-03-29,vendredi,Industrie,France,pme,Pro,10,48,27,56.2,20,5.1,16,5,3,0,1,18.1 h,3,1,1118.97,vert,ap-s1,A,,47,24774,0
CLI-000970,2024-05-02,jeudi,commerce,Canada,PME,PRO,9,55,5,"9,1",1,"0,1",16,6,2,10,3,9.0,3,0,"1565,81",bleu,ap-s1,B,Faible adoption des sièges.,49,34667,0
CLI-004120,29/05/2024,mercredi,TECH,Belgique, ETI ,Business,8,100,54,54.0,6,"2,8",26,9,4,5,6,8.2 h,3,2,5380.23 €,violet,eu-w3,control,,54,233825,0
CLI-001369,16 Aug 2023,mercredi,Commerce,France,TPE, Business ,18,8,8,100.0,119,85.2,26,13,3,3,4,12.1 h,2,0,"382,43",sombre,eu-w3,A,,70,9721,0
CLI-003164,06/10/2023,vendredi,SANTÉ,Belgique,pme,PRO,16,43,27,62.8,27,17.7,16,6,5,1,4,,3,0,1062.98,bleu,us-e1,control,,79,17433,0
CLI-002764,31/12/2024,mardi, Tech ,France,pme,Business,1,12,7,"58,3",5,3.1,26,7,0,4,3,"8,3",,2,559.71 €,bleu,eu-w3,A,,47,6425,0
CLI-003655,31/07/2024,mercredi,Tech,France,PME,Enterprise,6,21,7,33.3,1,"0,4",40,14,1,5,2,,4,0,1747.77,violet,eu-w3,A,Suivi standard.,61,28663,0
CLI-000236,2023-11-04,samedi,ÉDUCATION,Suisse,tpe,pro,15,9,7,"77,8",53,"37,0",16,8,6,1,0,9.1 h,4,0,"210,36",vert,us-e1,A,,71,5002,0
CLI-000261,08 Sep 2023,vendredi,TECH,France,TPE,Starter,17,10,3,30.0,4,"0,6",8,1,3,3,1,23.0,4,0,140.3,violet,us-e1,B,Client très satisfait et actif.,46,4027,0
CLI-003239,04/11/2024,lundi,Commerce,France,PME,Pro,3,36,8,"22,2",4,2.1,16,5,0,3,0,10.4,4,2,,vert,eu-w3,control,Déploiement interne limité.,53,13517,0
CLI-000947,08/06/2024,samedi,Éducation,Suisse, ETI ,Pro,8,145,94,"64,8",40,6.5,16,8,1,1,0,14.9,,1,3029.31,violet,eu-w3,A,,61,91909,0
CLI-002966,30/10/2023,lundi,Santé,France,pme,Pro,15,51,22,,21,10.4,16,9,2,0,6,15.8,3,0,1407.52,clair,eu-w3,B,RAS.,60,40396,0
CLI-004519,2025-01-10,vendredi, Tech ,Allemagne,ETI,Business,1,175,89,50.9,16,,26,3,0,1,1,"4,2",5,5,"7294,17",violet,eu-w3,control,Compte dans la moyenne.,44,71775,0
CLI-002869,07 Sep 2023,jeudi,commerce,France,TPE,business,17,2,2,100.0,43,8.5,26,16,3,1,1,6.1,3,0,94.38,violet,eu-w3,control,,77,2941,0
CLI-004392,10 Jan 2025,vendredi,Industrie,France,TPE,Starter,1,2,1,50.0,1,"0,1",8,1,1,1,11,39.1,,2,"23,38",sombre,eu-w1,A,,0,300,1
CLI-001275,18/04/2023,mardi,TECH,France, TPE ,Starter,22,3,2,66.7,66,"60,5",8,6,4,1,1,,5,0,,sombre,us-e1,control,Client très satisfait et actif.,85,1781,0
CLI-002113,15 May 2024,mercredi,Commerce,Canada,pme,Pro,9,30,26,86.7%,81,"7,2",16,9,1,1,2,"11,3",5,1,"843,55",clair,ap-s1,control,Compte dans la moyenne.,50,13834,0
CLI-002329,01 Jun 2024,samedi,Santé,Espagne,GE,ENTERPRISE,8,412,259,62.9,33,20.3,40,21,2,1,5,3.8 h,3,0,31405.82,clair,ap-s1,B,,63,309033,0
CLI-000305,06/10/2024,dimanche,COMMERCE,France,TPE,starter,4,8,5,"62,5",34,13.9,8,4,0,2,3,28.7,2,2,93.59,clair,eu-w1,control,,12,767,1
CLI-002543,28/01/2024,dimanche, Commerce ,Belgique, PME ,Business,12,26,13,50.0,29,10.0,26,8,4,3,1,4.6,5,0,1112.64 €,clair,ap-s1,control,"Compte engagé, ambassadeur potentiel.",70,17335,0
CLI-003431,01 Sep 2024,dimanche, Industrie ,Suisse,TPE,PRO,5,9,1,11.1,1,0.3,16,0,0,6,2,10.0 h,4,0,"234,58",violet,eu-w3,A,Déploiement interne limité.,59,3270,0
CLI-000676,2023-12-02,samedi,finance,Suisse,ETI,business,14,205,25,12.2%,2,0.1,26,7,7,3,2,10.5 h,1,0,9488.27 €,clair,eu-w1,A,,42,202290,0
CLI-004211,02/01/2024,mardi,Santé,Suisse,tpe,STARTER,13,5,2,40.0%,18,6.3,8,1,2,1,0,12.2,5,0,"64,15",vert,eu-w1,A,,53,2472,0
CLI-003394,2025-01-03,vendredi,Tech,Allemagne,ETI,Business,1,106,51,"48,1",30,27.1,26,9,0,0,2,7.5,4,3,4752.64,bleu,eu-w1,control,RAS.,5,124709,1
CLI-000854,06/03/2023,lundi, Santé ,Allemagne,TPE,Starter,23,4,1,25.0,1,0.1,8,0,11,4,4,"26,7",,0,"40,34",bleu,ap-s1,control,,59,300,0
CLI-000283,29 Nov 2023,mercredi,industrie,France,ETI, Business ,14,166,10,6.0,1,0.1,26,2,3,1,6,7.1,2,0,6932.4,violet,eu-w1,A,"Client insatisfait, risque de départ.",30,136430,1
CLI-003687,11 Feb 2024,dimanche,Éducation,Allemagne, PME ,Pro,12,40,27,67.5,35,23.2,16,7,5,0,0,5.4,5,0,"760,76",sombre,eu-w1,B,"Compte engagé, ambassadeur potentiel.",74,4991,0
CLI-003033,31 Jan 2024,mercredi,,France,TPE,Pro,12,8,5,62.5,28,7.7,16,4,4,0,5,9.6 h,3,0,"222,68",bleu,us-e1,control,RAS.,53,2922,0
CLI-003540,2023-09-01,vendredi,Commerce,Belgique,ETI,Business,17,32,17,53.1,8,"2,9",26,5,2,6,0,0.5,5,,1564.33,clair,eu-w3,B,,67,19241,0
CLI-003877,2024-12-25,mercredi,Éducation,Espagne,TPE,pro,1,8,1,12.5,1,0.2,16,2,0,2,2,8.5,4,2,150.85 €,clair,eu-w3,A,,42,495,0
CLI-001695,06 Jul 2023,jeudi, Commerce ,Espagne,PME,starter,19,10,4,"40,0",18,"1,8",8,2,4,5,3,27.9,2,0,134.17,violet,eu-w3,A,,47,1430,0
CLI-002671,07 May 2023,dimanche,Public,France,pme,Pro,21,8,5,62.5%,39,"14,0",16,9,1,1,2,12.6 h,4,0,182.69,bleu,eu-w3,A,,58,4494,0
CLI-002189,31/08/2024,samedi, Tech ,Allemagne,ETI, Pro ,5,171,0,,0,"0,0",16,0,0,49,2,"16,5",3,0,4437.66,violet,us-e1,control,Faible adoption des sièges.,10,50944,1
CLI-003819,2024-01-11,jeudi,Finance,France,PME,Starter,13,51,12,,9,1.7,8,2,4,1,7,38.1,1,0,584.71 €,clair,eu-w3,A,"Client insatisfait, risque de départ.",49,7671,0
CLI-004258,05/12/2022,lundi,PUBLIC,France,TPE, Pro ,26,1,1,100.0,55,"28,6",16,6,6,0,4,13.5,3,0,"26,19",bleu,ap-s1,B,,85,472,0
CLI-000319,01/01/2025,mercredi, Commerce ,Suisse,ETI,BUSINESS,1,67,34,50.7%,15,"5,1",26,10,,0,0,1.7,4,4,"2655,94",violet,eu-w1,control,Compte dans la moyenne.,21,26134,1
CLI-003202,28/12/2024,samedi,Tech,France,PME,Pro,1,16,13,81.2,30,"24,3",16,10,0,2,2,,,0,"395,76",clair,ap-s1,A,Suivi standard.,52,10060,0
CLI-002011,2023-09-30,samedi,,Canada, PME ,Enterprise,16,43,25,,1,0.1,40,14,4,1,3,4.8,4,0,2748.86,vert,eu-w3,A,,69,29303,0
